country,year,area_pixels,total_light_mass,mean_light,std_light,gini_light_pos,lit_threshold_p90,lit_fraction_p90,light_mass_lit_p90,pop_mass,light_per_pop,reg_mean_corr_nl_pop,reg_std_region_mean_nl,light_share_very_low,light_share_low,light_share_medium,light_share_high,light_share_very_high,region_share_urban_core,region_share_dense_dim,region_share_bright_sparse,region_share_mixed,region_share_empty_or_rural
Brazil,2014,27740437,8842501.0,0.3187585473060608,3.105785608291626,0.8741273213544163,0.20725500583648682,0.10000004686299643,7493030.0,685513152.0,0.012899097521618375,0.35779917827592034,1.4783583914488225,0.19185826182365417,0.0,0.0,0.8081415295600891,0.0,0.16451949860724233,0.0006963788300835655,0.004004178272980502,0.7219707520891365,0.1088091922005571
Brazil,2015,31911023,9132672.0,0.28619176149368286,2.922661542892456,0.8416448299599417,0.19537168741226196,0.1000000532731276,7461547.0,692847040.0,0.01318136828584849,0.3490241095356144,1.3600970134930506,0.23488794267177582,0.0,0.0,0.0,0.7651118040084839,0.16684045881126172,0.0003475842891901286,0.004866180048661801,0.7299270072992701,0.09801876955161627
Brazil,2016,22986893,8062466.0,0.3507418632507324,3.2890076637268066,0.9079853944284255,0.22776059806346893,0.10000007395518828,7144801.5,693395776.0,0.011627509539371639,0.3651534467839974,1.3845863739230746,0.1516580879688263,0.0,0.0,0.8483422994613647,0.0,0.16193132299111035,0.0005229213874847481,0.006100749520655395,0.710127244204288,0.12131776189646157
Brazil,2017,35075066,14760452.0,0.42082464694976807,2.5237860679626465,0.5435559932275096,0.34393179416656494,0.10000009693495658,8149463.0,704193984.0,0.02096077548995363,0.367775273870469,1.4087370976256035,0.44150280952453613,0.0,0.0,0.0,0.5584964752197266,0.17060458651841556,0.00017373175816539263,0.001911049339819319,0.7404447533009034,0.08686587908269632
Brazil,2018,35075405,14432658.0,0.41147515177726746,2.438370704650879,0.5457558645694791,0.3283333480358124,0.10010929310723568,8039995.5,709255680.0,0.020349019975419866,0.37980949395683394,1.372568190103677,0.43357327580451965,0.0,0.0,0.0,0.5664259791374207,0.17390548992355803,0.0,0.0006949270326615705,0.7331480194579569,0.09225156358582348
Brazil,2019,35075580,13177677.0,0.37569376826286316,2.5573952198028564,0.6101982472814562,0.29499998688697815,0.10029561877522766,8080819.0,714095808.0,0.018453654050858116,0.3762050921092649,1.3595327638712829,0.3904130160808563,0.0,0.0,0.0,0.6095873117446899,0.17147324530924252,0.0,0.001911049339819319,0.7411396803335649,0.08547602501737317
Brazil,2020,35075785,16077726.0,0.458371102809906,2.9215850830078125,0.4926467119157647,0.4008333384990692,0.1003535630065015,8168791.5,718504128.0,0.02237666475870268,0.37040111012216476,1.2680737985329271,0.48372796177864075,0.0,0.0,0.0,0.5162724852561951,0.17060458651841556,0.00034746351633078526,0.002779708130646282,0.7222029186935371,0.10406532314107018
Brazil,2021,35075753,15975950.0,0.45546990633010864,2.291520357131958,0.5125271658442108,0.4166666567325592,0.10004093140922733,8205680.0,724377792.0,0.022054720860354593,0.36556043577508457,1.271641593998656,0.4737025201320648,0.0,0.0,0.0,0.5262967944145203,0.16921473245309243,0.001389854065323141,0.0012161223071577485,0.7406184850590688,0.08756080611535788
Brazil,2022,35075787,16633039.0,0.47420287132263184,2.2757067680358887,0.5050483057471851,0.4424999952316284,0.10023324637020974,8464336.0,737281472.0,0.022559957942358273,0.36705763469608144,1.3034184979147188,0.4777202308177948,0.0,0.0,0.0,0.5222800374031067,0.17095205003474634,0.0017373175816539264,0.0006949270326615705,0.7334954829742877,0.09312022237665045
Brazil,2023,35075831,18689046.0,0.5328183174133301,2.6837446689605713,0.494392852383289,0.49416667222976685,0.10019873798570873,9370215.0,741907456.0,0.02519053535431783,0.44748308206988835,1.4090375471315462,0.4312526285648346,0.0,0.0,0.5687474012374878,0.0,0.17112578179291174,0.002432244614315497,0.0015635858234885338,0.7293259207783183,0.09555246699096595
