country,year,area_pixels,total_light_mass,mean_light,std_light,gini_light_pos,lit_threshold_p90,lit_fraction_p90,light_mass_lit_p90,pop_mass,light_per_pop,reg_mean_corr_nl_pop,reg_std_region_mean_nl,light_share_very_low,light_share_low,light_share_medium,light_share_high,light_share_very_high,region_share_urban_core,region_share_dense_dim,region_share_bright_sparse,region_share_mixed,region_share_empty_or_rural
Morocco,2014,1961436,942750.375,0.4806429445743561,3.414806604385376,0.7303086486810944,0.3614603281021118,0.10000020393222109,685250.875,112780912.0,0.008359130621323579,0.4742915380604512,1.6137597345170003,0.22014635801315308,0.0,0.0,0.7798538208007812,0.0,0.150997150997151,0.0,0.002849002849002849,0.7378917378917379,0.10826210826210826
Morocco,2015,1961436,976447.625,0.4978228211402893,3.5977091789245605,0.7478934719642438,0.36753588914871216,0.10000020393222109,729496.375,113931104.0,0.008570509638877895,0.48194362253358664,1.7431076237978116,0.208689346909523,0.0,0.0,0.7913103699684143,0.0,0.150997150997151,0.0,0.002849002849002849,0.7407407407407407,0.10541310541310542
Morocco,2016,1961436,981117.375,0.5002036094665527,3.7586567401885986,0.7933246143689792,0.3776019215583801,0.10000020393222109,768401.8125,115117016.0,0.00852278324344335,0.4835650509333504,1.828432183921574,0.18365010619163513,0.0,0.0,0.8163496851921082,0.0,0.1452991452991453,0.0,0.002849002849002849,0.7321937321937322,0.11965811965811966
Morocco,2017,1961443,1388091.625,0.7076889872550964,3.8609819412231445,0.589684956018105,0.5907598733901978,0.10000035688011326,843341.3125,116198296.0,0.011945886237436733,0.5057944314177136,1.9143361237858343,0.32305222749710083,0.0,0.0,0.6769482493400574,0.0,0.14814814814814814,0.0,0.002849002849002849,0.7407407407407407,0.10826210826210826
Morocco,2018,1961449,1338064.0,0.6821813583374023,3.8393778800964355,0.6096070140319514,0.559166669845581,0.10020704081523404,836751.5625,117259896.0,0.011411096595207622,0.5308754441471814,1.9513305755746728,0.3368394672870636,0.0,0.0,0.6631604433059692,0.0,0.1452991452991453,0.0,0.002849002849002849,0.7549857549857549,0.09686609686609686
Morocco,2019,1961453,1357811.5,0.6922478079795837,4.173452854156494,0.6576347706560512,0.5674999952316284,0.10010793019256643,902923.4375,120357856.0,0.011281453036185688,0.5342143116742576,2.1302914056499613,0.3022017776966095,0.0,0.0,0.6977983713150024,0.0,0.14814814814814814,0.0,0.002849002849002849,0.7492877492877493,0.09971509971509972
Morocco,2020,1961453,1497731.0,0.7635824084281921,4.008028507232666,0.5835510028206612,0.6508333086967468,0.10005031983942517,900426.8125,121532896.0,0.012323667494930754,0.5279291518080338,2.135098672870036,0.3569027781486511,0.0,0.0,0.6430969834327698,0.0,0.14814814814814814,0.0,0.002849002849002849,0.7492877492877493,0.09971509971509972
Morocco,2021,1961454,1553009.5,0.7917644381523132,3.8577206134796143,0.5602534320343875,0.7058333158493042,0.10011093811019785,895807.9375,122699896.0,0.012656974868177556,0.5312971480562055,2.0884057729535472,0.3754981458187103,0.0,0.0,0.6245017051696777,0.0,0.14814814814814814,0.0,0.002849002849002849,0.7464387464387464,0.10256410256410256
Morocco,2022,1961457,1598478.875,0.8149446249008179,3.982746124267578,0.5611926401942178,0.7250000238418579,0.1000536845824303,925862.0,123290824.0,0.01296510821437936,0.5315583666000834,2.216853656663229,0.3736651539802551,0.0,0.0,0.6263349652290344,0.0,0.14814814814814814,0.0,0.002849002849002849,0.7435897435897436,0.10541310541310542
Morocco,2023,1961457,1735927.75,0.8850195407867432,4.112669467926025,0.5361221104397589,0.8025000095367432,0.10012404044544439,967966.8125,124395320.0,0.013954928127521195,0.5297427664467719,2.376688495183216,0.39386704564094543,0.0,0.0,0.6061335206031799,0.0,0.14245014245014245,0.0,0.002849002849002849,0.7521367521367521,0.10256410256410256
