country,year,tile_id,r0,r1,c0,c1,n_valid_pixels,mean_light,mean_pop,region_type,log_light,log_pop
Morocco,2021,7,0,256,1536,1792,49741,2.5838725566864014,210.25230407714844,urban_core,1.2764439355201818,5.3530531730518796
Morocco,2021,8,0,256,1792,2048,26750,0.7231164574623108,75.4879379272461,mixed,0.5441345451991947,4.337133054246968
Morocco,2021,9,0,256,2048,2304,26620,2.1762006282806396,115.81163787841797,urban_core,1.1556857115032932,4.7605627048004715
Morocco,2021,10,0,256,2304,2560,13038,1.817681908607483,110.36432647705078,urban_core,1.035914528683481,4.712807047098038
Morocco,2021,17,256,512,1280,1536,29153,4.343973636627197,430.8169250488281,urban_core,1.6759695029563073,6.068001713812841
Morocco,2021,18,256,512,1536,1792,65536,1.0773009061813354,146.9872283935547,urban_core,0.7310694097887709,4.9971259754023745
Morocco,2021,19,256,512,1792,2048,65536,1.233589768409729,147.1121368408203,urban_core,0.8036100528133047,4.997969668225398
Morocco,2021,20,256,512,2048,2304,65536,0.5714476108551025,25.52493667602539,mixed,0.45199723966836075,3.2780852971654495
Morocco,2021,21,256,512,2304,2560,63083,0.8435627222061157,42.823856353759766,mixed,0.6116999615502815,3.7801783347168785
Morocco,2021,26,512,768,768,1024,12894,1.2100218534469604,101.00576782226562,urban_core,0.7930024039183098,4.625029358962648
Morocco,2021,27,512,768,1024,1280,56050,2.822993755340576,363.551513671875,urban_core,1.3410338212681538,5.89866786840916
Morocco,2021,28,512,768,1280,1536,65536,1.035717487335205,73.49663543701172,bright_sparse,0.7108483303841752,4.310753962446378
Morocco,2021,29,512,768,1536,1792,65536,0.5778012275695801,40.14860916137695,mixed,0.4560322497046492,3.7171901273143737
Morocco,2021,30,512,768,1792,2048,65536,0.497056782245636,16.31681251525879,mixed,0.4035010354099484,2.8516778512820116
Morocco,2021,31,512,768,2048,2304,65536,0.37850460410118103,5.1647162437438965,mixed,0.3209992914117052,1.8188421085892965
Morocco,2021,32,512,768,2304,2560,65536,0.3831726908683777,3.094520092010498,empty_or_rural,0.324379911748125,1.4096495167890906
Morocco,2021,33,512,768,2560,2712,12322,0.33928635716438293,0.6116566061973572,empty_or_rural,0.29213690281711857,0.4772625979409475
Morocco,2021,36,768,1024,512,768,808,3.194577932357788,320.2835693359375,urban_core,1.4337927227853944,5.772324126737458
Morocco,2021,37,768,1024,768,1024,52124,0.7485898733139038,77.41631317138672,mixed,0.5588096764370659,4.362031981877166
Morocco,2021,38,768,1024,1024,1280,65536,1.2297804355621338,128.86032104492188,urban_core,0.8019031212354059,4.866459419316017
Morocco,2021,39,768,1024,1280,1536,65536,0.7950459718704224,94.96251678466797,mixed,0.5850306326821575,4.563957665062617
Morocco,2021,40,768,1024,1536,1792,65536,0.406450092792511,19.11897850036621,mixed,0.3410688650565941,3.001663573583148
Morocco,2021,41,768,1024,1792,2048,65536,0.4735831618309021,23.312856674194336,mixed,0.3876969599002166,3.191005291674936
Morocco,2021,42,768,1024,2048,2304,48369,0.3503231704235077,3.3476197719573975,mixed,0.300343949301096,1.4696285164832399
Morocco,2021,43,768,1024,2304,2560,19143,0.345438152551651,1.357437252998352,empty_or_rural,0.2967197239831609,0.8575751192638861
Morocco,2021,44,768,1024,2560,2712,9196,0.460042804479599,5.254199504852295,mixed,0.3784657534271885,1.8332531588869805
Morocco,2021,47,1024,1280,512,768,3869,0.47582581639289856,47.63755798339844,mixed,0.38921770864056815,3.8843960304641314
Morocco,2021,48,1024,1280,768,1024,64024,1.118171215057373,121.69300079345703,urban_core,0.7505530819938501,4.809685306841729
Morocco,2021,49,1024,1280,1024,1280,65536,0.3520878851413727,29.06371307373047,mixed,0.30164997931090715,3.403318898776793
Morocco,2021,50,1024,1280,1280,1536,65536,0.38908952474594116,16.84723472595215,mixed,0.328648514356088,2.8818485789111166
Morocco,2021,51,1024,1280,1536,1792,65536,0.3533366024494171,19.359445571899414,mixed,0.3025731005456316,3.0135449600688835
Morocco,2021,52,1024,1280,1792,2048,54767,0.3329567015171051,5.784453392028809,mixed,0.28739955868635375,1.9146337288078228
Morocco,2021,53,1024,1280,2048,2304,11206,0.32407766580581665,0.5691993236541748,empty_or_rural,0.2807161157685692,0.4505655043400238
Morocco,2021,58,1280,1536,512,768,17900,0.5641019940376282,35.516727447509766,mixed,0.44731185357585246,3.5977704418405274
Morocco,2021,59,1280,1536,768,1024,65136,0.42026662826538086,24.904111862182617,mixed,0.35084462037133923,3.2544017152622207
Morocco,2021,60,1280,1536,1024,1280,58078,0.3346908390522003,5.227317810058594,mixed,0.2886996837988313,1.8289457120150565
Morocco,2021,61,1280,1536,1280,1536,38548,0.3117542564868927,2.051213502883911,empty_or_rural,0.2713653684712759,1.1155393812881238
Morocco,2021,62,1280,1536,1536,1792,30438,0.31517109274864197,4.11046028137207,mixed,0.2739667657204444,1.631289474791636
Morocco,2021,63,1280,1536,1792,2048,1032,0.317705899477005,0.08022959530353546,empty_or_rural,0.2758922696608193,0.07717360678646394
Morocco,2021,67,1536,1792,0,256,6628,0.43692052364349365,5.120104789733887,mixed,0.36250229842994824,1.8115792188831834
Morocco,2021,68,1536,1792,256,512,31998,0.4432242214679718,9.78271484375,mixed,0.3668796533533269,2.3779443745674174
Morocco,2021,69,1536,1792,512,768,63807,0.3885011076927185,8.171208381652832,mixed,0.3282248255265297,2.2160690531214002
Morocco,2021,70,1536,1792,768,1024,61736,0.33705806732177734,2.4002861976623535,empty_or_rural,0.29047172823263434,1.2238596038625784
Morocco,2021,71,1536,1792,1024,1280,3138,0.3063591420650482,0.6580358743667603,empty_or_rural,0.26724398697457347,0.5056336936121724
Morocco,2021,78,1792,1839,0,256,10877,0.34968751668930054,0.3429901897907257,empty_or_rural,0.29987309653819033,0.29489861281652513
Morocco,2021,79,1792,1839,256,512,12032,0.3263336420059204,0.17358988523483276,empty_or_rural,0.28241847550290794,0.16006732922976805
Morocco,2021,80,1792,1839,512,768,12032,0.30825260281562805,0.032261621206998825,empty_or_rural,0.2686923558081422,0.03175214385292454
Morocco,2021,81,1792,1839,768,1024,11092,0.3126084804534912,1.5109373331069946,empty_or_rural,0.27201636384226063,0.9206561229173812
