country,year,tile_id,r0,r1,c0,c1,n_valid_pixels,mean_light,mean_pop,region_type,log_light,log_pop
Morocco,2019,7,0,256,1536,1792,49741,2.6160459518432617,206.25050354003906,urban_core,1.285381150370441,5.333928223638697
Morocco,2019,8,0,256,1792,2048,26750,0.5757591128349304,74.07009887695312,mixed,0.454737132567408,4.318422328714097
Morocco,2019,9,0,256,2048,2304,26619,2.191838026046753,113.6305923461914,urban_core,1.1605969345803673,4.741714717575762
Morocco,2019,10,0,256,2304,2560,13038,1.7783294916152954,108.24137878417969,urban_core,1.0218498447917463,4.693559918131306
Morocco,2019,17,256,512,1280,1536,29153,4.22459077835083,422.5384826660156,urban_core,1.653376474850853,6.048644378124451
Morocco,2019,18,256,512,1536,1792,65536,1.005253553390503,144.2078857421875,urban_core,0.6957705133069637,4.978166410435185
Morocco,2019,19,256,512,1792,2048,65536,1.1039824485778809,144.3152618408203,urban_core,0.7438319529100044,4.978905601817457
Morocco,2019,20,256,512,2048,2304,65536,0.45252132415771484,25.038555145263672,mixed,0.37330089063975463,3.259578329827988
Morocco,2019,21,256,512,2304,2560,63083,0.7600978016853333,42.01167297363281,mixed,0.5653693766455469,3.76147154335683
Morocco,2019,26,512,768,768,1024,12894,1.1104919910430908,99.08853149414062,urban_core,0.7469210914182863,4.606055109269369
Morocco,2019,27,512,768,1024,1280,56050,2.7366530895233154,356.4020080566406,urban_core,1.3181903149187195,5.878861221222808
Morocco,2019,28,512,768,1280,1536,65536,0.8977354764938354,72.16553497314453,bright_sparse,0.6406613208720642,4.292724476390063
Morocco,2019,29,512,768,1536,1792,65536,0.44957399368286133,39.39017868041992,mixed,0.37126971580545853,3.698586653443227
Morocco,2019,30,512,768,1792,2048,65536,0.38616812229156494,16.00804901123047,mixed,0.3265431937660828,2.833686703252923
Morocco,2019,31,512,768,2048,2304,65536,0.261588454246521,5.065837860107422,mixed,0.23237160494957773,1.802672679615951
Morocco,2019,32,512,768,2304,2560,65536,0.26577234268188477,3.0530989170074463,empty_or_rural,0.23568248344575513,1.3994817532223838
Morocco,2019,33,512,768,2560,2712,12322,0.22983728349208832,0.5981058478355408,empty_or_rural,0.2068818707894223,0.4688190828447946
Morocco,2019,36,768,1024,512,768,808,3.719857931137085,314.1487731933594,urban_core,1.5517786998091065,5.7530448231809865
Morocco,2019,37,768,1024,768,1024,52124,0.6378315687179565,75.95123291015625,mixed,0.49337315274326315,4.343171882380786
Morocco,2019,38,768,1024,1024,1280,65536,1.2434972524642944,126.40611267089844,urban_core,0.80803592176825,4.847379722135392
Morocco,2019,39,768,1024,1280,1536,65536,0.6989112496376038,93.14383697509766,mixed,0.5299876045023344,4.544823793322749
